(Remote IP: 167.94.145.98, Remote port: 59176, Own port: 135, ConnectionDuration: 0.165922880173 seconds),
(Remote IP: 167.94.145.98, Remote port: 59210, Own port: 135, ConnectionDuration: 3.24499201775 seconds),
(Remote IP: 167.94.145.98, Remote port: 59210, Own port: 135, ConnectionDuration: 3.24571990967 seconds),
(Remote IP: 206.168.34.185, Remote port: 46776, Own port: 143, ConnectionDuration: 0.210901975632 seconds),
(Remote IP: 206.168.34.185, Remote port: 46776, Own port: 143, ConnectionDuration: 0.212707996368 seconds),
(Remote IP: 108.46.148.33, Remote port: 41573, Own port: 23, ConnectionDuration: 30.9668111801 seconds),
(Remote IP: 123.205.57.113, Remote port: 43801, Own port: 23, ConnectionDuration: 27.8951609135 seconds),
(Remote IP: 52.87.151.179, Remote port: 35058, Own port: 443, ConnectionDuration: 0.0960690975189 seconds),
(Remote IP: 52.87.151.179, Remote port: 4918, Own port: 443, ConnectionDuration: 0.118733882904 seconds),
(Remote IP: 52.87.151.179, Remote port: 37781, Own port: 443, ConnectionDuration: 0.100136041641 seconds),
(Remote IP: 52.87.151.179, Remote port: 50205, Own port: 443, ConnectionDuration: 0.121807813644 seconds),
(Remote IP: 64.62.156.75, Remote port: 11457, Own port: 25, ConnectionDuration: 0.0267899036407 seconds),
(Remote IP: 185.180.140.6, Remote port: 53728, Own port: 80, ConnectionDuration: 0.032989025116 seconds),
(Remote IP: 185.180.140.6, Remote port: 53736, Own port: 80, ConnectionDuration: 0.0328199863434 seconds),
(Remote IP: 198.235.24.129, Remote port: 63022, Own port: 3389, ConnectionDuration: 0.252531051636 seconds),
(Remote IP: 198.235.24.129, Remote port: 63038, Own port: 3389, ConnectionDuration: 0.250514030457 seconds),
(Remote IP: 198.235.24.129, Remote port: 63042, Own port: 3389, ConnectionDuration: 0.252650976181 seconds),
(Remote IP: 198.235.24.129, Remote port: 63056, Own port: 3389, ConnectionDuration: 0.250994920731 seconds),
